"X","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Peso da Régua",0,0,0,0,0,0,0,0
"Sabrosa",0,0,0,0,0,0,0,0
"Santa Marta de Penaguião",0,0,0,0,0,0,0,0
"São João da Pesqueira",0,0,1,0,0,0,0,0
"Sernancelhe",0,0,0,1,0,0,0,0
"Tabuaço",0,0,0,0,0,0,0,0
"Tarouca",0,0,0,0,0,0,1,1
"Torre de Moncorvo",0,0,0,0,0,0,0,0
"Vila Nova de Foz Côa",0,0,0,0,0,0,0,0
"Vila Real",2,2,1,2,0,1,1,0
"Alfândega da Fé",1,0,0,0,0,0,0,0
"Bragança",0,1,2,0,1,0,1,0
"Macedo de Cavaleiros",0,0,0,0,0,0,0,0
"Miranda do Douro",0,0,0,0,0,0,0,0
"Mirandela",2,0,0,1,0,0,0,2
"Mogadouro",0,0,1,0,0,0,0,0
"Vila Flor",1,0,0,0,0,0,0,0
"Vimioso",0,0,0,0,0,0,0,0
"Vinhais",0,0,1,0,0,0,0,0
"Alcobaça",3,1,1,1,2,0,0,0
"Alenquer",2,2,0,2,1,0,0,1
"Arruda dos Vinhos",0,0,0,0,0,0,0,0
"Bombarral",1,0,0,1,1,0,0,0
"Cadaval",1,0,0,0,2,0,0,1
"Caldas da Rainha",0,0,0,0,0,0,0,0
"Lourinhã",2,0,1,0,0,0,2,0
"Nazaré",0,0,0,0,0,0,0,0
"Óbidos",0,0,0,0,0,0,0,0
"Peniche",1,1,0,0,0,1,1,0
"Sobral de Monte Agraço",0,0,0,0,1,0,0,0
"Torres Vedras",2,3,2,2,1,3,2,1
"Águeda",0,0,1,1,4,0,2,0
"Albergaria-a-Velha",0,1,0,0,0,0,2,1
"Anadia",0,0,0,0,0,0,0,0
"Aveiro",3,0,2,1,2,0,0,0
"Estarreja",0,2,0,1,2,0,0,1
"Ílhavo",0,0,1,0,1,0,0,1
"Murtosa",1,0,0,0,0,0,0,0
"Oliveira do Bairro",0,1,0,0,1,0,0,0
"Ovar",3,2,1,0,0,0,1,0
"Sever do Vouga",0,0,1,0,1,0,0,1
"Vagos",0,0,0,1,1,0,0,0
"Arganil",1,0,0,0,0,0,0,0
"Cantanhede",1,0,0,0,0,0,1,1
"Coimbra",1,2,4,1,0,2,2,2
"Condeixa-a-Nova",0,0,0,0,0,0,0,0
"Figueira da Foz",2,0,0,2,0,2,0,0
"Góis",0,0,0,0,0,0,0,0
"Lousã",0,0,0,0,0,0,0,0
"Mealhada",0,0,1,0,0,1,0,0
"Mira",0,0,0,0,0,0,0,0
"Miranda do Corvo",0,1,0,0,0,0,0,0
"Montemor-o-Velho",0,0,0,0,0,0,2,0
"Mortágua",0,0,0,0,0,0,0,0
"Oliveira do Hospital",1,0,0,0,1,0,0,0
"Pampilhosa da Serra",0,0,0,0,0,0,0,0
"Penacova",0,0,0,0,0,0,1,0
"Penela",0,0,0,0,0,0,0,0
"Soure",1,1,0,0,0,0,2,0
"Tábua",0,0,0,0,0,0,0,0
"Vila Nova de Poiares",0,0,0,0,0,0,0,0
"Alvaiázere",0,0,0,0,0,0,0,0
"Ansião",0,0,0,0,0,0,0,1
"Batalha",0,0,0,0,0,0,0,0
"Castanheira de Pêra",0,0,0,0,0,0,0,0
"Figueiró dos Vinhos",0,0,0,0,0,0,0,0
"Leiria",3,0,0,2,2,1,0,5
"Marinha Grande",0,0,0,0,1,0,0,1
"Pedrógão Grande",1,0,0,0,0,0,0,1
"Pombal",1,1,0,1,0,2,2,1
"Porto de Mós",0,0,0,0,0,0,0,0
"Aguiar da Beira",0,0,0,0,0,0,0,0
"Carregal do Sal",0,0,0,0,0,0,1,0
"Castro Daire",0,0,0,0,0,0,0,0
"Mangualde",0,0,0,0,0,0,0,0
"Nelas",0,0,0,0,0,0,0,0
"Oliveira de Frades",0,0,0,0,1,0,0,1
"Penalva do Castelo",0,0,0,0,0,0,0,1
"Santa Comba Dão",0,0,0,0,0,0,0,0
"São Pedro do Sul",1,1,1,0,0,0,0,0
"Sátão",0,0,0,0,0,0,1,0
"Tondela",1,0,0,0,0,0,1,0
"Vila Nova de Paiva",0,0,0,0,0,0,0,0
"Viseu",2,0,2,0,1,1,1,1
"Vouzela",0,0,0,0,0,0,0,0
"Castelo Branco",0,2,1,0,1,0,1,2
"Idanha-a-Nova",0,0,0,0,0,0,0,0
"Oleiros",0,0,0,1,0,0,0,0
"Penamacor",0,0,0,0,0,0,0,0
"Proença-a-Nova",0,0,1,1,0,0,1,0
"Vila Velha de Ródão",0,0,0,0,0,0,0,0
"Abrantes",2,0,1,2,2,0,0,0
"Alcanena",1,0,2,0,0,0,1,0
"Constância",0,0,0,0,0,0,0,0
"Entroncamento",0,1,0,0,0,0,0,1
"Ferreira do Zêzere",1,0,0,0,0,0,0,0
"Mação",0,0,0,0,0,0,0,0
"Ourém",0,0,1,1,0,0,1,1
"Sardoal",0,0,0,0,0,0,0,0
"Sertã",1,0,0,0,0,0,1,1
"Tomar",0,3,2,1,1,0,1,0
"Torres Novas",0,0,1,1,0,0,1,2
"Vila de Rei",0,0,0,0,0,0,0,0
"Vila Nova da Barquinha",0,0,0,0,0,0,0,0
"Almeida",0,0,0,0,0,0,0,0
"Belmonte",0,0,0,0,0,0,0,0
"Celorico da Beira",0,0,0,0,0,0,0,0
"Covilhã",2,1,1,0,1,0,1,2
"Figueira de Castelo Rodrigo",0,0,0,0,0,0,1,0
"Fornos de Algodres",0,0,0,0,0,0,0,0
"Fundão",0,0,2,0,1,0,0,0
"Gouveia",1,0,0,0,3,0,0,0
"Guarda",2,0,0,0,2,0,0,0
"Manteigas",0,0,0,0,0,0,0,0
"Mêda",0,0,0,0,0,0,0,0
"Pinhel",0,0,0,1,0,0,0,0
"Sabugal",0,1,2,0,1,0,2,2
"Seia",0,0,0,0,1,2,0,1
"Trancoso",0,0,0,0,0,0,2,0
"Alcochete",2,0,0,0,0,0,2,0
"Almada",8,4,5,3,4,6,8,6
"Amadora",5,5,6,5,6,4,2,0
"Barreiro",3,2,1,2,6,1,3,4
"Cascais",5,3,6,6,2,0,6,3
"Lisboa",25,33,19,30,20,17,21,27
"Loures",3,5,8,5,6,1,2,4
"Mafra",0,1,1,0,0,2,0,1
"Moita",3,0,3,4,3,0,2,2
"Montijo",0,0,1,0,1,0,0,1
"Odivelas",2,2,3,2,1,3,3,3
"Oeiras",3,4,2,2,6,3,4,5
"Palmela",1,1,0,0,2,0,0,3
"Seixal",4,1,0,4,2,3,4,2
"Sesimbra",0,0,0,1,0,1,3,1
"Setúbal",6,5,4,3,3,3,3,4
"Sintra",7,4,2,7,3,9,4,9
"Vila Franca de Xira",2,2,1,1,2,1,2,2
"Alcácer do Sal",0,1,0,1,0,0,0,0
"Grândola",0,1,2,0,1,0,0,0
"Odemira",1,1,0,0,0,0,2,0
"Santiago do Cacém",1,0,1,0,0,0,1,1
"Sines",2,0,0,0,0,0,0,0
"Aljustrel",0,0,0,0,0,0,0,0
"Almodôvar",0,0,0,0,1,0,0,1
"Alvito",0,0,0,0,0,0,0,0
"Barrancos",0,0,0,0,0,0,0,0
"Beja",0,0,0,1,1,0,0,1
"Castro Verde",1,0,0,0,0,0,2,0
"Cuba",0,0,0,0,0,0,0,0
"Ferreira do Alentejo",0,1,0,0,1,0,0,0
"Mértola",0,1,0,0,0,0,0,0
"Moura",0,0,0,0,0,0,0,0
"Ourique",0,0,0,0,0,0,0,0
"Serpa",1,1,0,0,0,0,0,0
"Vidigueira",0,1,0,0,0,0,0,0
"Almeirim",0,0,0,1,0,0,0,2
"Alpiarça",0,0,0,1,0,0,0,0
"Azambuja",0,1,0,0,2,0,0,0
"Benavente",0,0,0,0,0,0,1,1
"Cartaxo",2,0,0,0,0,0,0,0
"Chamusca",0,0,0,1,0,0,0,0
"Coruche",1,0,0,1,1,0,0,0
"Golegã",0,0,0,0,0,0,0,0
"Rio Maior",0,0,0,0,0,0,0,1
"Salvaterra de Magos",0,1,0,1,0,0,0,0
"Santarém",4,2,0,3,1,2,1,0
"Alter do Chão",0,0,0,0,0,0,0,0
"Arronches",0,0,0,0,0,0,0,0
"Avis",0,0,0,0,0,0,0,0
"Campo Maior",0,0,0,0,0,0,0,0
"Castelo de Vide",0,0,0,0,0,0,0,0
"Crato",0,0,0,0,0,0,0,0
"Elvas",0,0,1,2,0,0,0,0
"Fronteira",0,0,0,0,0,0,0,0
"Gavião",0,0,0,0,0,0,0,0
"Marvão",0,0,0,0,0,0,0,0
"Monforte",0,0,0,0,0,0,0,0
"Nisa",0,0,0,0,0,0,1,0
"Ponte de Sor",0,1,1,0,0,0,0,0
"Portalegre",1,1,0,1,0,0,1,0
"Sousel",0,0,0,0,0,0,0,0
"Alandroal",1,0,0,0,0,0,0,1
"Arraiolos",0,0,0,0,1,0,1,0
"Borba",0,1,0,0,0,0,0,0
"Estremoz",0,0,0,1,0,0,0,0
"Évora",1,1,0,3,1,0,1,3
"Montemor-o-Novo",0,1,0,0,0,0,0,0
"Mora",0,0,0,0,0,0,0,0
"Mourão",0,0,0,0,0,0,0,0
"Portel",0,0,0,0,0,0,0,0
"Redondo",0,0,0,0,0,0,0,0
"Reguengos de Monsaraz",1,1,0,0,1,0,0,0
"Vendas Novas",0,0,0,0,0,0,0,0
"Viana do Alentejo",0,0,0,0,0,0,0,0
"Vila Viçosa",1,0,0,0,0,0,0,0
"Albufeira",0,0,2,1,0,0,0,1
"Alcoutim",3,0,0,0,0,0,0,1
"Aljezur",0,0,0,0,1,0,1,0
"Castro Marim",0,1,0,0,0,0,0,0
"Faro",0,0,2,3,2,2,1,0
"Lagoa",0,0,0,0,0,0,1,0
"Lagos",0,1,1,0,1,3,1,0
"Loulé",3,1,0,3,2,0,2,1
"Monchique",0,0,0,0,0,0,0,0
"Olhão",1,1,0,0,2,0,1,0
"Portimão",1,2,0,0,2,1,1,1
"São Brás de Alportel",0,0,0,0,0,1,0,0
"Silves",0,1,1,0,0,1,0,0
"Tavira",2,2,1,1,3,1,0,1
"Vila do Bispo",0,0,0,0,1,0,0,0
"Vila Real de Santo António",0,0,1,0,0,0,0,1
"Vila do Porto",0,0,0,0,0,0,0,0
"Lagoa [R.A.A.]",0,0,0,0,0,0,0,0
"Nordeste",0,0,0,0,0,0,0,0
"Ponta Delgada",1,0,0,0,1,0,0,1
"Povoação",0,0,0,0,0,0,0,0
"Ribeira Grande",2,1,0,0,0,0,2,0
"Vila Franca do Campo",1,0,0,0,0,0,0,0
"Angra do Heroísmo",1,0,0,0,0,0,0,0
"Vila da Praia da Vitória",0,0,1,0,0,0,1,0
"Santa Cruz da Graciosa",0,0,0,0,0,0,0,0
"Calheta [R.A.A.]",0,0,0,0,0,0,0,0
"Velas",0,0,0,0,0,0,0,0
"Lajes do Pico",0,0,0,0,0,0,0,0
"Madalena",0,0,0,0,0,0,0,0
"São Roque do Pico",0,0,0,0,0,0,0,0
"Horta",0,0,0,0,0,0,0,0
"Lajes das Flores",0,0,0,0,0,0,0,0
"Santa Cruz das Flores",0,0,0,0,0,0,0,0
"Corvo",0,0,0,0,0,0,0,0
"Calheta [R.A.M.]",0,0,0,0,0,0,1,0
"Câmara de Lobos",0,1,1,0,0,0,0,0
"Funchal",1,4,1,0,2,0,1,0
"Machico",0,0,0,0,0,0,0,0
"Ponta do Sol",0,0,0,0,0,0,0,0
"Porto Moniz",0,0,0,0,0,0,0,0
"Ribeira Brava",0,0,0,0,0,0,0,0
"Santa Cruz",0,0,0,0,0,0,1,0
"Santana",0,1,0,0,0,0,0,0
"São Vicente",0,0,0,0,0,0,1,0
"Porto Santo",0,0,0,0,0,0,0,0
